iter	Passed	Remaining
0	278	277938
1	280	140175
2	284	94491
3	286	71273
4	288	57415
5	290	48077
6	293	41568
7	294	36554
8	296	32621
9	297	29476
10	300	26985
11	301	24837
12	303	23012
13	304	21456
14	306	20139
15	308	18985
16	313	18145
17	410	22411
18	422	21825
19	426	20911
20	430	20081
21	433	19277
22	435	18498
23	437	17778
24	438	17097
25	440	16502
26	442	15939
27	445	15453
28	448	15009
29	450	14560
30	452	14131
31	455	13771
32	457	13393
33	460	13095
34	465	12847
35	470	12601
36	473	12317
37	475	12030
38	476	11753
39	494	11869
40	609	14252
41	611	13950
42	613	13651
43	614	13359
44	615	13064
45	616	12786
46	618	12535
47	620	12303
48	624	12129
49	625	11891
50	628	11687
51	631	11507
52	632	11306
53	634	11110
54	634	10910
55	636	10723
56	637	10549
57	638	10376
58	640	10209
59	641	10054
60	657	10124
61	737	11161
62	739	11002
63	749	10963
64	751	10815
65	753	10658
66	754	10509
67	756	10369
68	758	10229
69	853	11337
70	864	11314
71	869	11211
72	883	11223
73	892	11168
74	894	11029
75	896	10904
76	900	10788
77	905	10698
78	906	10570
79	909	10461
80	912	10355
81	914	10236
82	915	10111
83	916	9994
84	925	9958
85	926	9848
86	934	9811
87	1030	10684
88	1040	10645
89	1052	10642
90	1054	10534
91	1056	10425
92	1061	10349
93	1062	10243
94	1064	10139
95	1065	10034
96	1066	9932
97	1068	9838
98	1071	9753
99	1083	9752
100	1128	10044
101	1151	10135
102	1176	10245
103	1178	10151
104	1180	10058
105	1181	9968
106	1183	9874
107	1184	9785
108	1187	9705
109	1189	9623
110	1194	9562
111	1200	9521
112	1202	9439
113	1203	9356
114	1205	9277
115	1206	9196
116	1207	9115
117	1209	9038
118	1210	8963
119	1213	8896
120	1218	8850
121	1224	8809
122	1276	9101
123	1311	9264
124	1316	9214
125	1318	9148
126	1320	9076
127	1321	9003
128	1323	8933
129	1324	8863
130	1325	8793
131	1326	8725
132	1328	8658
133	1329	8591
134	1330	8526
135	1332	8462
136	1338	8430
137	1368	8550
138	1405	8707
139	1422	8735
140	1431	8718
141	1432	8653
142	1433	8592
143	1435	8535
144	1437	8476
145	1443	8445
146	1449	8411
147	1451	8353
148	1452	8295
149	1457	8259
150	1459	8204
151	1460	8149
152	1462	8093
153	1463	8038
154	1464	7984
155	1466	7931
156	1467	7878
157	1470	7834
158	1471	7782
159	1473	7733
160	1473	7680
161	1484	7676
162	1517	7790
163	1534	7823
164	1542	7807
165	1547	7776
166	1557	7766
167	1558	7718
168	1561	7675
169	1562	7629
170	1564	7585
171	1566	7543
172	1569	7500
173	1587	7536
174	1589	7494
175	1621	7591
176	1631	7587
177	1647	7608
178	1649	7564
179	1651	7525
180	1655	7489
181	1658	7452
182	1660	7413
183	1661	7370
184	1664	7334
185	1666	7292
186	1669	7257
187	1672	7222
188	1675	7188
189	1677	7152
190	1679	7112
191	1680	7072
192	1681	7032
193	1683	6995
194	1687	6964
195	1688	6926
196	1689	6888
197	1691	6852
198	1693	6815
199	1694	6779
200	1696	6745
201	1698	6710
202	1700	6674
203	1702	6642
204	1704	6608
205	1705	6574
206	1707	6539
207	1708	6505
208	1710	6473
209	1711	6439
210	1713	6407
211	1716	6379
212	1717	6346
213	1719	6314
214	1720	6283
215	1722	6250
216	1723	6219
217	1725	6187
218	1726	6157
219	1728	6127
220	1729	6095
221	1730	6065
222	1732	6036
223	1772	6140
224	1774	6112
225	1792	6137
226	1794	6109
227	1798	6090
228	1808	6088
229	1814	6075
230	1822	6067
231	1826	6047
232	1831	6028
233	1836	6012
234	1838	5986
235	1842	5965
236	1845	5941
237	1847	5915
238	1849	5889
239	1853	5869
240	1856	5847
241	1858	5822
242	1861	5797
243	1862	5771
244	1864	5744
245	1865	5717
246	1867	5691
247	1868	5665
248	1869	5637
249	1874	5623
250	1875	5596
251	1877	5572
252	1882	5558
253	1883	5531
254	1904	5565
255	1906	5541
256	1908	5516
257	1909	5492
258	1911	5468
259	1913	5444
260	1914	5420
261	1916	5397
262	1918	5376
263	1919	5352
264	1921	5330
265	1930	5327
266	1932	5304
267	1933	5281
268	1934	5258
269	1939	5244
270	1941	5221
271	1943	5200
272	1946	5183
273	1947	5160
274	1948	5137
275	1950	5116
276	1953	5099
277	1954	5076
278	1956	5056
279	1958	5036
280	1959	5015
281	1962	4997
282	1976	5008
283	1979	4989
284	2012	5048
285	2067	5160
286	2108	5238
287	2110	5217
288	2111	5195
289	2113	5173
290	2114	5152
291	2117	5134
292	2119	5113
293	2121	5093
294	2122	5072
295	2124	5051
296	2125	5030
297	2126	5010
298	2135	5005
299	2137	4988
300	2140	4970
301	2144	4956
302	2146	4938
303	2148	4917
304	2150	4900
305	2153	4883
306	2154	4863
307	2156	4845
308	2158	4827
309	2161	4810
310	2162	4791
311	2164	4773
312	2167	4756
313	2168	4738
314	2170	4720
315	2177	4713
316	2181	4699
317	2182	4680
318	2184	4662
319	2185	4643
320	2187	4626
321	2190	4612
322	2193	4598
323	2195	4579
324	2196	4561
325	2197	4543
326	2199	4526
327	2200	4508
328	2216	4521
329	2234	4536
330	2260	4568
331	2281	4590
332	2283	4573
333	2291	4569
334	2343	4651
335	2486	4913
336	2491	4902
337	2495	4887
338	2497	4869
339	2499	4852
340	2500	4832
341	2502	4814
342	2504	4798
343	2514	4795
344	2516	4777
345	2517	4759
346	2519	4741
347	2520	4722
348	2522	4704
349	2523	4686
350	2524	4667
351	2525	4649
352	2526	4631
353	2529	4616
354	2545	4624
355	2545	4605
356	2547	4587
357	2548	4569
358	2549	4551
359	2550	4534
360	2551	4516
361	2553	4499
362	2555	4484
363	2560	4473
364	2564	4461
365	2565	4444
366	2567	4429
367	2598	4462
368	2691	4603
369	2694	4588
370	2696	4571
371	2698	4555
372	2702	4543
373	2704	4526
374	2705	4509
375	2707	4493
376	2710	4479
377	2712	4463
378	2713	4446
379	2716	4432
380	2718	4417
381	2721	4402
382	2723	4388
383	2725	4372
384	2727	4356
385	2732	4345
386	2733	4329
387	2734	4313
388	2735	4296
389	2736	4280
390	2737	4264
391	2739	4248
392	2740	4233
393	2742	4217
394	2838	4347
395	2848	4344
396	2849	4328
397	2851	4312
398	2852	4296
399	2854	4281
400	2857	4267
401	2860	4255
402	2862	4240
403	2864	4226
404	2870	4216
405	2872	4202
406	2874	4187
